CountryCode,iso_code,Year,Week,Unique,RTotal
AUS,AUS,2017,1,AUS12017,0.006123711
AUS,AUS,2017,2,AUS22017,0.006127942
AUS,AUS,2017,3,AUS32017,0.005935452
AUS,AUS,2017,4,AUS42017,0.006106789
AUS,AUS,2017,5,AUS52017,0.005804305
AUS,AUS,2017,6,AUS62017,0.006157555
AUS,AUS,2017,7,AUS72017,0.006026409
AUS,AUS,2017,8,AUS82017,0.006256973
AUS,AUS,2017,9,AUS92017,0.00615121
AUS,AUS,2017,10,AUS102017,0.006381774
AUS,AUS,2017,11,AUS112017,0.005891031
AUS,AUS,2017,12,AUS122017,0.006102558
AUS,AUS,2017,13,AUS132017,0.006045446
AUS,AUS,2017,14,AUS142017,0.006320431
AUS,AUS,2017,15,AUS152017,0.006273895
AUS,AUS,2017,16,AUS162017,0.006369083
AUS,AUS,2017,17,AUS172017,0.006366967
AUS,AUS,2017,18,AUS182017,0.00626755
AUS,AUS,2017,19,AUS192017,0.006572149
AUS,AUS,2017,20,AUS202017,0.006538304
AUS,AUS,2017,21,AUS212017,0.006711757
AUS,AUS,2017,22,AUS222017,0.006775215
AUS,AUS,2017,23,AUS232017,0.006902131
AUS,AUS,2017,24,AUS242017,0.006908477
AUS,AUS,2017,25,AUS252017,0.006836558
AUS,AUS,2017,26,AUS262017,0.007007895
AUS,AUS,2017,27,AUS272017,0.007335762
AUS,AUS,2017,28,AUS282017,0.007411912
AUS,AUS,2017,29,AUS292017,0.007826505
AUS,AUS,2017,30,AUS302017,0.007686897
AUS,AUS,2017,31,AUS312017,0.007930153
AUS,AUS,2017,32,AUS322017,0.007898424
AUS,AUS,2017,33,AUS332017,0.007769392
AUS,AUS,2017,34,AUS342017,0.007758816
AUS,AUS,2017,35,AUS352017,0.008128989
AUS,AUS,2017,36,AUS362017,0.007655168
AUS,AUS,2017,37,AUS372017,0.007820159
AUS,AUS,2017,38,AUS382017,0.007621323
AUS,AUS,2017,39,AUS392017,0.007060776
AUS,AUS,2017,40,AUS402017,0.006944436
AUS,AUS,2017,41,AUS412017,0.006735025
AUS,AUS,2017,42,AUS422017,0.00650446
AUS,AUS,2017,43,AUS432017,0.006284472
AUS,AUS,2017,44,AUS442017,0.006375428
AUS,AUS,2017,45,AUS452017,0.006070829
AUS,AUS,2017,46,AUS462017,0.00623159
AUS,AUS,2017,47,AUS472017,0.006121596
AUS,AUS,2017,48,AUS482017,0.006096213
AUS,AUS,2017,49,AUS492017,0.006178708
AUS,AUS,2017,50,AUS502017,0.006290818
AUS,AUS,2017,51,AUS512017,0.006163901
AUS,AUS,2017,52,AUS522017,0.005869879
AUS,AUS,2018,1,AUS12018,0.005869502
AUS,AUS,2018,2,AUS22018,0.00589033
AUS,AUS,2018,3,AUS32018,0.005754944
AUS,AUS,2018,4,AUS42018,0.006002805
AUS,AUS,2018,5,AUS52018,0.006009053
AUS,AUS,2018,6,AUS62018,0.005673713
AUS,AUS,2018,7,AUS72018,0.005884082
AUS,AUS,2018,8,AUS82018,0.005950733
AUS,AUS,2018,9,AUS92018,0.005952816
AUS,AUS,2018,10,AUS102018,0.006002805
AUS,AUS,2018,11,AUS112018,0.005996556
AUS,AUS,2018,12,AUS122018,0.00597781
AUS,AUS,2018,13,AUS132018,0.006121528
AUS,AUS,2018,14,AUS142018,0.005798684
AUS,AUS,2018,15,AUS152018,0.00589033
AUS,AUS,2018,16,AUS162018,0.006175682
AUS,AUS,2018,17,AUS172018,0.005915325
AUS,AUS,2018,18,AUS182018,0.006292322
AUS,AUS,2018,19,AUS192018,0.006556846
AUS,AUS,2018,20,AUS202018,0.006525603
AUS,AUS,2018,21,AUS212018,0.006773463
AUS,AUS,2018,22,AUS222018,0.006663072
AUS,AUS,2018,23,AUS232018,0.006875523
AUS,AUS,2018,24,AUS242018,0.006517271
AUS,AUS,2018,25,AUS252018,0.006777629
AUS,AUS,2018,26,AUS262018,0.006892186
AUS,AUS,2018,27,AUS272018,0.007029655
AUS,AUS,2018,28,AUS282018,0.006694314
AUS,AUS,2018,29,AUS292018,0.007031738
AUS,AUS,2018,30,AUS302018,0.007221278
AUS,AUS,2018,31,AUS312018,0.00684428
AUS,AUS,2018,32,AUS322018,0.0066839
AUS,AUS,2018,33,AUS332018,0.007029655
AUS,AUS,2018,34,AUS342018,0.006985915
AUS,AUS,2018,35,AUS352018,0.007183787
AUS,AUS,2018,36,AUS362018,0.006900518
AUS,AUS,2018,37,AUS372018,0.00647978
AUS,AUS,2018,38,AUS382018,0.006563094
AUS,AUS,2018,39,AUS392018,0.006546431
AUS,AUS,2018,40,AUS402018,0.006533934
AUS,AUS,2018,41,AUS412018,0.006571426
AUS,AUS,2018,42,AUS422018,0.00643604
AUS,AUS,2018,43,AUS432018,0.006206925
AUS,AUS,2018,44,AUS442018,0.006315234
AUS,AUS,2018,45,AUS452018,0.006246499
AUS,AUS,2018,46,AUS462018,0.006046545
AUS,AUS,2018,47,AUS472018,0.006227754
AUS,AUS,2018,48,AUS482018,0.006159019
AUS,AUS,2018,49,AUS492018,0.006173599
AUS,AUS,2018,50,AUS502018,0.006225671
AUS,AUS,2018,51,AUS512018,0.006111113
AUS,AUS,2018,52,AUS522018,0.006134025
AUS,AUS,2019,1,AUS12019,0.006089711
AUS,AUS,2019,2,AUS22019,0.006153359
AUS,AUS,2019,3,AUS32019,0.006243699
AUS,AUS,2019,4,AUS42019,0.006071232
AUS,AUS,2019,5,AUS52019,0.00593367
AUS,AUS,2019,6,AUS62019,0.006071232
AUS,AUS,2019,7,AUS72019,0.006073286
AUS,AUS,2019,8,AUS82019,0.006352517
AUS,AUS,2019,9,AUS92019,0.006175944
AUS,AUS,2019,10,AUS102019,0.006007584
AUS,AUS,2019,11,AUS112019,0.006177997
AUS,AUS,2019,12,AUS122019,0.005995265
AUS,AUS,2019,13,AUS132019,0.006169785
AUS,AUS,2019,14,AUS142019,0.006081498
AUS,AUS,2019,15,AUS152019,0.006292975
AUS,AUS,2019,16,AUS162019,0.006264231
AUS,AUS,2019,17,AUS172019,0.00619237
AUS,AUS,2019,18,AUS182019,0.006198529
AUS,AUS,2019,19,AUS192019,0.00657426
AUS,AUS,2019,20,AUS202019,0.006609164
AUS,AUS,2019,21,AUS212019,0.006744673
AUS,AUS,2019,22,AUS222019,0.006892502
AUS,AUS,2019,23,AUS232019,0.006892502
AUS,AUS,2019,24,AUS242019,0.007103978
AUS,AUS,2019,25,AUS252019,0.007011586
AUS,AUS,2019,26,AUS262019,0.007036224
AUS,AUS,2019,27,AUS272019,0.0070855
AUS,AUS,2019,28,AUS282019,0.006876076
AUS,AUS,2019,29,AUS292019,0.007097819
AUS,AUS,2019,30,AUS302019,0.007167627
AUS,AUS,2019,31,AUS312019,0.006857598
AUS,AUS,2019,32,AUS322019,0.007136829
AUS,AUS,2019,33,AUS332019,0.007064968
AUS,AUS,2019,34,AUS342019,0.007235381
AUS,AUS,2019,35,AUS352019,0.007069074
AUS,AUS,2019,36,AUS362019,0.007184052
AUS,AUS,2019,37,AUS372019,0.006913033
AUS,AUS,2019,38,AUS382019,0.006843225
AUS,AUS,2019,39,AUS392019,0.006364836
AUS,AUS,2019,40,AUS402019,0.006664599
AUS,AUS,2019,41,AUS412019,0.006492133
AUS,AUS,2019,42,AUS422019,0.006461335
AUS,AUS,2019,43,AUS432019,0.006465442
AUS,AUS,2019,44,AUS442019,0.006327879
AUS,AUS,2019,45,AUS452019,0.00609587
AUS,AUS,2019,46,AUS462019,0.006227274
AUS,AUS,2019,47,AUS472019,0.006118455
AUS,AUS,2019,48,AUS482019,0.006130774
AUS,AUS,2019,49,AUS492019,0.006071232
AUS,AUS,2019,50,AUS502019,0.0061472
AUS,AUS,2019,51,AUS512019,0.00605686
AUS,AUS,2019,52,AUS522019,0.005915191
AUS,AUS,2020,1,AUS12020,0.005946512
AUS,AUS,2020,2,AUS22020,0.005897737
AUS,AUS,2020,3,AUS32020,0.005922124
AUS,AUS,2020,4,AUS42020,0.006111128
AUS,AUS,2020,5,AUS52020,0.005913995
AUS,AUS,2020,6,AUS62020,0.005928221
AUS,AUS,2020,7,AUS72020,0.006157871
AUS,AUS,2020,8,AUS82020,0.006216808
AUS,AUS,2020,9,AUS92020,0.006279809
AUS,AUS,2020,10,AUS102020,0.006088773
AUS,AUS,2020,11,AUS112020,0.006048127
AUS,AUS,2020,12,AUS122020,0.006289971
AUS,AUS,2020,13,AUS132020,0.006387521
AUS,AUS,2020,14,AUS142020,0.006537912
AUS,AUS,2020,15,AUS152020,0.006381424
AUS,AUS,2020,16,AUS162020,0.006267616
AUS,AUS,2020,17,AUS172020,0.006186323
AUS,AUS,2020,18,AUS182020,0.006159904
AUS,AUS,2020,19,AUS192020,0.006424103
AUS,AUS,2020,20,AUS202020,0.006401747
AUS,AUS,2020,21,AUS212020,0.006531815
AUS,AUS,2020,22,AUS222020,0.006458652
AUS,AUS,2020,23,AUS232020,0.006326552
AUS,AUS,2020,24,AUS242020,0.006357037
AUS,AUS,2020,25,AUS252020,0.00622697
AUS,AUS,2020,26,AUS262020,0.006214776
AUS,AUS,2020,27,AUS272020,0.006539944
AUS,AUS,2020,28,AUS282020,0.006497266
AUS,AUS,2020,29,AUS292020,0.006511492
AUS,AUS,2020,30,AUS302020,0.006771626
AUS,AUS,2020,31,AUS312020,0.006814304
AUS,AUS,2020,32,AUS322020,0.006905758
AUS,AUS,2020,33,AUS332020,0.007068342
AUS,AUS,2020,34,AUS342020,0.006726915
AUS,AUS,2020,35,AUS352020,0.006672043
AUS,AUS,2020,36,AUS362020,0.006686269
AUS,AUS,2020,37,AUS372020,0.006582622
AUS,AUS,2020,38,AUS382020,0.006300132
AUS,AUS,2020,39,AUS392020,0.006391586
AUS,AUS,2020,40,AUS402020,0.006468813
AUS,AUS,2020,41,AUS412020,0.006182259
AUS,AUS,2020,42,AUS422020,0.006100967
AUS,AUS,2020,43,AUS432020,0.006023739
AUS,AUS,2020,44,AUS442020,0.006170065
AUS,AUS,2020,45,AUS452020,0.006163968
AUS,AUS,2020,46,AUS462020,0.006365166
AUS,AUS,2020,47,AUS472020,0.006184291
AUS,AUS,2020,48,AUS482020,0.006009513
AUS,AUS,2020,49,AUS492020,0.006312326
AUS,AUS,2020,50,AUS502020,0.006111128
AUS,AUS,2020,51,AUS512020,0.00619242
AUS,AUS,2020,52,AUS522020,0.006233066
AUS,AUS,2020,53,AUS532020,0.006070482
AUS,AUS,2021,1,AUS12021,0.006118963
AUS,AUS,2021,2,AUS22021,0.005959373
AUS,AUS,2021,3,AUS32021,0.006359358
AUS,AUS,2021,4,AUS42021,0.005947252
AUS,AUS,2021,5,AUS52021,0.006197748
AUS,AUS,2021,6,AUS62021,0.005983614
AUS,AUS,2021,7,AUS72021,0.005927051
AUS,AUS,2021,8,AUS82021,0.006157345
AUS,AUS,2021,9,AUS92021,0.006199768
AUS,AUS,2021,10,AUS102021,0.006296734
AUS,AUS,2021,11,AUS112021,0.00623007
AUS,AUS,2021,12,AUS122021,0.006135124
AUS,AUS,2021,13,AUS132021,0.006250271
AUS,AUS,2021,14,AUS142021,0.005967453
AUS,AUS,2021,15,AUS152021,0.006567431
AUS,AUS,2021,16,AUS162021,0.00654925
AUS,AUS,2021,17,AUS172021,0.006609853
AUS,AUS,2021,18,AUS182021,0.006791665
AUS,AUS,2021,19,AUS192021,0.006791665
AUS,AUS,2021,20,AUS202021,0.006783584
AUS,AUS,2021,21,AUS212021,0.007084583
AUS,AUS,2021,22,AUS222021,0.006809846
AUS,AUS,2021,23,AUS232021,0.007183569
AUS,AUS,2021,24,AUS242021,0.007044181
AUS,AUS,2021,25,AUS252021,0.006971456
AUS,AUS,2021,26,AUS262021,0.006995698
AUS,AUS,2021,27,AUS272021,0.007149227
AUS,AUS,2021,28,AUS282021,0.007242153
AUS,AUS,2021,29,AUS292021,0.007296696
AUS,AUS,2021,30,AUS302021,0.007401743
AUS,AUS,2021,31,AUS312021,0.006997718
AUS,AUS,2021,32,AUS322021,0.006920953
AUS,AUS,2021,33,AUS332021,0.007058321
AUS,AUS,2021,34,AUS342021,0.006886611
AUS,AUS,2021,35,AUS352021,0.00703206
AUS,AUS,2021,36,AUS362021,0.00687247
AUS,AUS,2021,37,AUS372021,0.007025999
AUS,AUS,2021,38,AUS382021,0.006773484
AUS,AUS,2021,39,AUS392021,0.007096704
AUS,AUS,2021,40,AUS402021,0.006830047
AUS,AUS,2021,41,AUS412021,0.006743182
AUS,AUS,2021,42,AUS422021,0.006745202
AUS,AUS,2021,43,AUS432021,0.006672477
AUS,AUS,2021,44,AUS442021,0.006636115
AUS,AUS,2021,45,AUS452021,0.006367438
AUS,AUS,2021,46,AUS462021,0.006672477
AUS,AUS,2021,47,AUS472021,0.006529048
AUS,AUS,2021,48,AUS482021,0.006531069
AUS,AUS,2021,49,AUS492021,0.006349257
AUS,AUS,2021,50,AUS502021,0.006506827
AUS,AUS,2021,51,AUS512021,0.0067149
AUS,AUS,2021,52,AUS522021,0.0063937
AUS,AUS,2022,1,AUS12022,0.006693278
AUS,AUS,2022,2,AUS22022,0.007513109
AUS,AUS,2022,3,AUS32022,0.007818536
AUS,AUS,2022,4,AUS42022,0.00760755
AUS,AUS,2022,5,AUS52022,0.007521146
AUS,AUS,2022,6,AUS62022,0.007165484
AUS,AUS,2022,7,AUS72022,0.006858048
AUS,AUS,2022,8,AUS82022,0.00685001
AUS,AUS,2022,9,AUS92022,0.006793747
AUS,AUS,2022,10,AUS102022,0.00645617
AUS,AUS,2022,11,AUS112022,0.006729447
AUS,AUS,2022,12,AUS122022,0.006721409
AUS,AUS,2022,13,AUS132022,0.006866085
AUS,AUS,2022,14,AUS142022,0.006930386
AUS,AUS,2022,15,AUS152022,0.006787719
AUS,AUS,2022,16,AUS162022,0.006998705
AUS,AUS,2022,17,AUS172022,0.00701478
AUS,AUS,2022,18,AUS182022,0.007388527
AUS,AUS,2022,19,AUS192022,0.007629654
AUS,AUS,2022,20,AUS202022,0.00734432
AUS,AUS,2022,21,AUS212022,0.007581428
AUS,AUS,2022,22,AUS222022,0.007866762
AUS,AUS,2022,23,AUS232022,0.00810387
AUS,AUS,2022,24,AUS242022,0.008304809
AUS,AUS,2022,25,AUS252022,0.008041578
AUS,AUS,2022,26,AUS262022,0.007858724
AUS,AUS,2022,27,AUS272022,0.008252564
AUS,AUS,2022,28,AUS282022,0.008278686
AUS,AUS,2022,29,AUS292022,0.008330931
AUS,AUS,2022,30,AUS302022,0.008361071
AUS,AUS,2022,31,AUS312022,0.008445466
AUS,AUS,2022,32,AUS322022,0.008272658
AUS,AUS,2022,33,AUS332022,0.007886855
AUS,AUS,2022,34,AUS342022,0.007786386
AUS,AUS,2022,35,AUS352022,0.007472921
AUS,AUS,2022,36,AUS362022,0.007573391
AUS,AUS,2022,37,AUS372022,0.00741063
AUS,AUS,2022,38,AUS382022,0.007374461
AUS,AUS,2022,39,AUS392022,0.006839963
AUS,AUS,2022,40,AUS402022,0.007012771
AUS,AUS,2022,41,AUS412022,0.006926367
AUS,AUS,2022,42,AUS422022,0.007052959
AUS,AUS,2022,43,AUS432022,0.00662094
AUS,AUS,2022,44,AUS442022,0.006775663
AUS,AUS,2022,45,AUS452022,0.006976602
AUS,AUS,2022,46,AUS462022,0.006868095
AUS,AUS,2022,47,AUS472022,0.006940433
AUS,AUS,2022,48,AUS482022,0.00681786
AUS,AUS,2022,49,AUS492022,0.007133334
AUS,AUS,2022,50,AUS502022,0.006974592
AUS,AUS,2022,51,AUS512022,0.007065015
AUS,AUS,2022,52,AUS522022,0.006759588
AUS,AUS,2023,1,AUS12023,0.006958123
AUS,AUS,2023,2,AUS22023,0.006548352
AUS,AUS,2023,3,AUS32023,0.006618313
AUS,AUS,2023,4,AUS42023,0.006402433
AUS,AUS,2023,5,AUS52023,0.006690273
AUS,AUS,2023,6,AUS62023,0.00635446
AUS,AUS,2023,7,AUS72023,0.006536358
AUS,AUS,2023,8,AUS82023,0.006414426
AUS,AUS,2023,9,AUS92023,0.006536358
AUS,AUS,2023,10,AUS102023,0.006670284
AUS,AUS,2023,11,AUS112023,0.006738246
AUS,AUS,2023,12,AUS122023,0.006584332
AUS,AUS,2023,13,AUS132023,0.006512372
AUS,AUS,2023,14,AUS142023,0.006456403
AUS,AUS,2023,15,AUS152023,0.006834192
AUS,AUS,2023,16,AUS162023,0.006936136
AUS,AUS,2023,17,AUS172023,0.006844187
AUT,AUT,2017,1,AUT12017,0.013554215
AUT,AUT,2017,2,AUT22017,0.013832038
AUT,AUT,2017,3,AUT32017,0.012176922
AUT,AUT,2017,4,AUT42017,0.011455764
AUT,AUT,2017,5,AUT52017,0.012088255
AUT,AUT,2017,6,AUT62017,0.011077452
AUT,AUT,2017,7,AUT72017,0.010344473
AUT,AUT,2017,8,AUT82017,0.010681407
AUT,AUT,2017,9,AUT92017,0.010025272
AUT,AUT,2017,10,AUT102017,0.009540559
AUT,AUT,2017,11,AUT112017,0.009114958
AUT,AUT,2017,12,AUT122017,0.00907358
AUT,AUT,2017,13,AUT132017,0.008801668
AUT,AUT,2017,14,AUT142017,0.009085402
AUT,AUT,2017,15,AUT152017,0.009055847
AUT,AUT,2017,16,AUT162017,0.008718913
AUT,AUT,2017,17,AUT172017,0.008512023
AUT,AUT,2017,18,AUT182017,0.009026291
AUT,AUT,2017,19,AUT192017,0.008476556
AUT,AUT,2017,20,AUT202017,0.008872602
AUT,AUT,2017,21,AUT212017,0.007844066
AUT,AUT,2017,22,AUT222017,0.008606601
AUT,AUT,2017,23,AUT232017,0.007755399
AUT,AUT,2017,24,AUT242017,0.008399712
AUT,AUT,2017,25,AUT252017,0.008724824
AUT,AUT,2017,26,AUT262017,0.008387889
AUT,AUT,2017,27,AUT272017,0.008352423
AUT,AUT,2017,28,AUT282017,0.007956377
AUT,AUT,2017,29,AUT292017,0.008718913
AUT,AUT,2017,30,AUT302017,0.0081278
AUT,AUT,2017,31,AUT312017,0.009552381
AUT,AUT,2017,32,AUT322017,0.007885444
AUT,AUT,2017,33,AUT332017,0.008157355
AUT,AUT,2017,34,AUT342017,0.008701179
AUT,AUT,2017,35,AUT352017,0.007855888
AUT,AUT,2017,36,AUT362017,0.007790866
AUT,AUT,2017,37,AUT372017,0.008429267
AUT,AUT,2017,38,AUT382017,0.008316956
AUT,AUT,2017,39,AUT392017,0.008843046
AUT,AUT,2017,40,AUT402017,0.008754379
AUT,AUT,2017,41,AUT412017,0.009038113
AUT,AUT,2017,42,AUT422017,0.008588868
AUT,AUT,2017,43,AUT432017,0.008801668
AUT,AUT,2017,44,AUT442017,0.009168158
AUT,AUT,2017,45,AUT452017,0.008807579
AUT,AUT,2017,46,AUT462017,0.008896246
AUT,AUT,2017,47,AUT472017,0.00928047
AUT,AUT,2017,48,AUT482017,0.009049936
AUT,AUT,2017,49,AUT492017,0.00964696
AUT,AUT,2017,50,AUT502017,0.009185892
AUT,AUT,2017,51,AUT512017,0.009771093
AUT,AUT,2017,52,AUT522017,0.009729715
AUT,AUT,2018,1,AUT12018,0.010393721
AUT,AUT,2018,2,AUT22018,0.01083488
AUT,AUT,2018,3,AUT32018,0.010505481
AUT,AUT,2018,4,AUT42018,0.010081968
AUT,AUT,2018,5,AUT52018,0.01099958
AUT,AUT,2018,6,AUT62018,0.011399564
AUT,AUT,2018,7,AUT72018,0.011064283
AUT,AUT,2018,8,AUT82018,0.011476032
AUT,AUT,2018,9,AUT92018,0.011887781
AUT,AUT,2018,10,AUT102018,0.011558382
AUT,AUT,2018,11,AUT112018,0.011446622
AUT,AUT,2018,12,AUT122018,0.009652572
AUT,AUT,2018,13,AUT132018,0.010387838
AUT,AUT,2018,14,AUT142018,0.009511401
AUT,AUT,2018,15,AUT152018,0.00917612
AUT,AUT,2018,16,AUT162018,0.009158474
AUT,AUT,2018,17,AUT172018,0.008134983
AUT,AUT,2018,18,AUT182018,0.008434972
AUT,AUT,2018,19,AUT192018,0.00807028
AUT,AUT,2018,20,AUT202018,0.007893816
AUT,AUT,2018,21,AUT212018,0.008134983
AUT,AUT,2018,22,AUT222018,0.008323211
AUT,AUT,2018,23,AUT232018,0.00842909
AUT,AUT,2018,24,AUT242018,0.008187922
AUT,AUT,2018,25,AUT252018,0.008240862
AUT,AUT,2018,26,AUT262018,0.008317329
AUT,AUT,2018,27,AUT272018,0.008476147
AUT,AUT,2018,28,AUT282018,0.008258508
AUT,AUT,2018,29,AUT292018,0.008887896
AUT,AUT,2018,30,AUT302018,0.008558497
AUT,AUT,2018,31,AUT312018,0.009499637
AUT,AUT,2018,32,AUT322018,0.00901142
AUT,AUT,2018,33,AUT332018,0.008411443
AUT,AUT,2018,34,AUT342018,0.008587907
AUT,AUT,2018,35,AUT352018,0.008317329
AUT,AUT,2018,36,AUT362018,0.008093808
AUT,AUT,2018,37,AUT372018,0.00854085
AUT,AUT,2018,38,AUT382018,0.008358504
AUT,AUT,2018,39,AUT392018,0.008446736
AUT,AUT,2018,40,AUT402018,0.009134945
AUT,AUT,2018,41,AUT412018,0.008876131
AUT,AUT,2018,42,AUT422018,0.008752607
AUT,AUT,2018,43,AUT432018,0.008770253
AUT,AUT,2018,44,AUT442018,0.009182002
AUT,AUT,2018,45,AUT452018,0.008829074
AUT,AUT,2018,46,AUT462018,0.009152592
AUT,AUT,2018,47,AUT472018,0.009005538
AUT,AUT,2018,48,AUT482018,0.008970246
AUT,AUT,2018,49,AUT492018,0.009740804
AUT,AUT,2018,50,AUT502018,0.00956434
AUT,AUT,2018,51,AUT512018,0.009640808
AUT,AUT,2018,52,AUT522018,0.009934915
AUT,AUT,2019,1,AUT12019,0.009644918
AUT,AUT,2019,2,AUT22019,0.010007993
AUT,AUT,2019,3,AUT32019,0.009609781
AUT,AUT,2019,4,AUT42019,0.010031417
AUT,AUT,2019,5,AUT52019,0.010142682
AUT,AUT,2019,6,AUT62019,0.01051747
AUT,AUT,2019,7,AUT72019,0.010658015
AUT,AUT,2019,8,AUT82019,0.010253947
AUT,AUT,2019,9,AUT92019,0.010330076
AUT,AUT,2019,10,AUT102019,0.01060531
AUT,AUT,2019,11,AUT112019,0.010482333
AUT,AUT,2019,12,AUT122019,0.009480948
AUT,AUT,2019,13,AUT132019,0.009668342
AUT,AUT,2019,14,AUT142019,0.009410676
AUT,AUT,2019,15,AUT152019,0.009112017
AUT,AUT,2019,16,AUT162019,0.009123729
AUT,AUT,2019,17,AUT172019,0.008907055
AUT,AUT,2019,18,AUT182019,0.008561548
AUT,AUT,2019,19,AUT192019,0.008508844
AUT,AUT,2019,20,AUT202019,0.009123729
AUT,AUT,2019,21,AUT212019,0.00876651
AUT,AUT,2019,22,AUT222019,0.008754798
AUT,AUT,2019,23,AUT232019,0.008901199
AUT,AUT,2019,24,AUT242019,0.009100305
AUT,AUT,2019,25,AUT252019,0.008339018
AUT,AUT,2019,26,AUT262019,0.0085147
AUT,AUT,2019,27,AUT272019,0.00882507
AUT,AUT,2019,28,AUT282019,0.007835398
AUT,AUT,2019,29,AUT292019,0.008374154
AUT,AUT,2019,30,AUT302019,0.009117873
AUT,AUT,2019,31,AUT312019,0.008532268
AUT,AUT,2019,32,AUT322019,0.008233609
AUT,AUT,2019,33,AUT332019,0.008239465
AUT,AUT,2019,34,AUT342019,0.008508844
AUT,AUT,2019,35,AUT352019,0.008789934
AUT,AUT,2019,36,AUT362019,0.008333162
AUT,AUT,2019,37,AUT372019,0.008239465
AUT,AUT,2019,38,AUT382019,0.008502988
AUT,AUT,2019,39,AUT392019,0.009217426
